condition_name_raw,condition_name_normalized
(STEMI),(STEMI)
STEMI,(STEMI)
- Venous Leg Ulcers,- Venous Leg Ulcers
Venous Leg Ulcers,- Venous Leg Ulcers
-Chronic Periodontitis,-Chronic Periodontitis
Chronic Periodontitis,-Chronic Periodontitis
22Q11 Deletion Syndrome,22Q11 Deletion Syndrome
22q11 Deletion Syndrome,22Q11 Deletion Syndrome
22Q11.2 Deletion Syndrome,22Q11.2 Deletion Syndrome
22q11.2 Deletion Syndrome,22Q11.2 Deletion Syndrome
ACNE VULGARIS,ACNE VULGARIS
Acne Vulgaris,ACNE VULGARIS
ACS (Acute Coronary Syndrome),ACS (Acute Coronary Syndrome)
ACS - Acute Coronary Syndrome,ACS (Acute Coronary Syndrome)
ACUTE LYMPHOBLASTIC LEUKEMIA,ACUTE LYMPHOBLASTIC LEUKEMIA
Acute Lymphoblastic Leukemia,ACUTE LYMPHOBLASTIC LEUKEMIA
ACUTE MYELOID LEUKEMIA,ACUTE MYELOID LEUKEMIA
Acute Myeloid Leukemia,ACUTE MYELOID LEUKEMIA
ADHD Predominantly Inattentive Type,ADHD Predominantly Inattentive Type
"ADHD, Predominantly Inattentive Type",ADHD Predominantly Inattentive Type
ADPKD (autosomal Dominant Polycystic Kidney Disease),ADPKD (autosomal Dominant Polycystic Kidney Disease)
ADPKD (Autosomal Dominant Polycystic Kidney Disease),ADPKD (autosomal Dominant Polycystic Kidney Disease)
ADULT,ADULT
Adult,ADULT
ADVANCED HEPATOCELLULAR CARCINOMA (HCC),ADVANCED HEPATOCELLULAR CARCINOMA (HCC)
Advanced Hepatocellular Carcinoma (HCC),ADVANCED HEPATOCELLULAR CARCINOMA (HCC)
AIDS-Related Complex,AIDS-Related Complex
AIDS-related Complex,AIDS-Related Complex
AIDS-Related Lymphoma,AIDS-Related Lymphoma
AIDS-related Lymphoma,AIDS-Related Lymphoma
AIDS-Related Non-Hodgkin Lymphoma,AIDS-Related Non-Hodgkin Lymphoma
AIDS-related Non-Hodgkin Lymphoma,AIDS-Related Non-Hodgkin Lymphoma
AIDS-Related Plasmablastic Lymphoma,AIDS-Related Plasmablastic Lymphoma
AIDS-related Plasmablastic Lymphoma,AIDS-Related Plasmablastic Lymphoma
AIDS-Related Primary Effusion Lymphoma,AIDS-Related Primary Effusion Lymphoma
AIDS-related Primary Effusion Lymphoma,AIDS-Related Primary Effusion Lymphoma
AIDS/HIV PROBLEM,AIDS/HIV PROBLEM
Aids/Hiv Problem,AIDS/HIV PROBLEM
ALK-POSITIVE NSCLC,ALK-POSITIVE NSCLC
ALK-positive NSCLC,ALK-POSITIVE NSCLC
ALK-positive Non-small Cell Lung Cancer (NSCLC),ALK-positive Non-small Cell Lung Cancer (NSCLC)
